Firmware Base Address                0x037fc000
vexDeviceMotorFlagsGet               0x358
vexDeviceMotorVoltageSet             0x35c
vexDeviceMotorVoltageGet             0x360
vexDeviceMotorGearingSet             0x364
vexDeviceMotorGearingGet             0x368
vexDeviceMotorVoltageLimitSet        0x36c
vexDeviceMotorVoltageLimitGet        0x370
vexDeviceMotorVelocityUpdate         0x374
vexDeviceMotorPositionPidSet         0x378
vexDeviceMotorVelocityPidSet         0x37c
vexDeviceMotorExternalProfileSet     0x380
vexDeviceVisionModeSet               0x398
vexDeviceVisionModeGet               0x39c
vexDeviceVisionObjectCountGet        0x3a0
vexDeviceVisionObjectGet             0x3a4
vexDeviceVisionSignatureSet          0x3a8
vexDeviceVisionSignatureGet          0x3ac
vexDeviceVisionBrightnessSet         0x3b0
vexDeviceVisionBrightnessGet         0x3b4
vexDeviceVisionWhiteBalanceModeSet   0x3b8
vexDeviceVisionWhiteBalanceModeGet   0x3bc
vexDeviceVisionWhiteBalanceSet       0x3c0
vexDeviceVisionWhiteBalanceGet       0x3c4
vexDeviceVisionLedModeSet            0x3c8
vexDeviceVisionLedModeGet            0x3cc
vexDeviceVisionLedBrigntnessSet      0x3d0
vexDeviceVisionLedBrigntnessGet      0x3d4
vexDeviceVisionLedColorSet           0x3d8
vexDeviceVisionLedColorGet           0x3dc
vexDeviceVisionWifiModeSet           0x3e0
vexDeviceVisionWifiModeGet           0x3e4
vexDeviceImuReset                    0x410
vexDeviceImuHeadingGet               0x414
vexDeviceImuDegreesGet               0x418
vexDeviceImuQuaternionGet            0x41c
vexDeviceImuAttitudeGet              0x420
vexDeviceImuRawGyroGet               0x424
vexDeviceImuRawAccelGet              0x428
vexDeviceImuStatusGet                0x42c
vexDeviceImuTemperatureGet           0x430
vexDeviceImuDebugGet                 0x434
vexDeviceImuModeSet                  0x438
vexDeviceImuModeGet                  0x43c
vexDeviceImuCollisionDataGet         0x440
vexDeviceImuDataRateSet              0x444
vexDeviceRadioUserDataReceive        0x460
vexDeviceRadioModeSet                0x464
vexDeviceAbsEncReset                 0x488
vexDeviceAbsEncPositionSet           0x48c
vexDeviceAbsEncPositionGet           0x490
vexDeviceAbsEncVelocityGet           0x494
vexDeviceAbsEncAngleGet              0x498
vexDeviceAbsEncReverseFlagSet        0x49c
vexDeviceAbsEncReverseFlagGet        0x4a0
vexDeviceAbsEncStatusGet             0x4a4
vexDeviceAbsEncTemperatureGet        0x4a8
vexDeviceAbsEncDebugGet              0x4ac
vexDeviceAbsEncModeSet               0x4b0
vexDeviceAbsEncModeGet               0x4b4
vexDeviceAbsEncOffsetSet             0x4b8
vexDeviceAbsEncOffsetGet             0x4bc
vexDeviceAbsEncDataRateSet           0x4c0
vexDeviceRangeValueGet               0x4d8
vexDeviceDistanceDistanceGet         0x500
vexDeviceDistanceConfidenceGet       0x504
vexDeviceDistanceStatusGet           0x508
vexDeviceDistanceDebugGet            0x50c
vexDeviceDistanceModeSet             0x510
vexDeviceDistanceModeGet             0x514
vexDeviceDistanceObjectSizeGet       0x518
vexDeviceDistanceObjectVelocityGet   0x51c
vexDeviceOpticalHueGet               0x528
vexDeviceOpticalSatGet               0x52c
vexDeviceOpticalBrightnessGet        0x530
vexDeviceOpticalProximityGet         0x534
vexDeviceOpticalRgbGet               0x538
vexDeviceOpticalLedPwmSet            0x53c
vexDeviceOpticalLedPwmGet            0x540
vexDeviceOpticalStatusGet            0x544
vexDeviceOpticalRawGet               0x548
vexDeviceOpticalDebugGet             0x54c
vexDeviceOpticalModeSet              0x550
vexDeviceOpticalModeGet              0x554
vexDeviceOpticalGestureGet           0x558
vexDeviceOpticalGestureEnable        0x55c
vexDeviceOpticalGestureDisable       0x560
vexDeviceOpticalProximityThreshold   0x564
vexDeviceOpticalGainSet              0x568
vexDeviceOpticalMatrixSet            0x56c
vexDeviceOpticalMatrixGet            0x570
vexDeviceMagnetPowerSet              0x578
vexDeviceMagnetPowerGet              0x57c
vexDeviceMagnetPickup                0x580
vexDeviceMagnetDrop                  0x584
vexDeviceMagnetTemperatureGet        0x588
vexDeviceMagnetCurrentGet            0x58c
vexDeviceMagnetStatusGet             0x590
vexDeviceMagnetDebugGet              0x594
vexDeviceMagnetModeSet               0x598
vexDeviceMagnetModeGet               0x59c
vexDeviceGpsReset                    0x5c8
vexDeviceGpsHeadingGet               0x5cc
vexDeviceGpsDegreesGet               0x5d0
vexDeviceGpsQuaternionGet            0x5d4
vexDeviceGpsAttitudeGet              0x5d8
